Process_ID, Interval, Layer, Sv_mean, NASC, Height_mean, Depth_mean, Layer_depth_min, Layer_depth_max, Ping_S, Ping_E, Dist_M, Date_M, Time_M, Lat_M, Lon_M, Noise_Sv_1m, Minimum_Sv_threshold_applied, Maximum_Sv_threshold_applied, Standard_deviation, Thickness_mean, Range_mean, Exclude_below_line_range_mean, Exclude_above_line_range_mean
204, 1, 1, -67.886034, 76.720427, 10.940133, 8.332144, 0.000000, 1000.000000, 0, 251, 32.832856, 20200514, 04:22:56.3760, 32.99531589, 35.06173942, -999.000000, 1, 0, 0.00001039792789, 10.940133, 7.732144, 13.191633, 2.250701
204, 2, 1, -76.279189, 9.478590, 9.336213, 6.707150, 0.000000, 1000.000000, 252, 427, 148.128361, 20200514, 04:24:22.1750, 32.99616968, 35.06243349, -999.000000, 1, 0, 0.00000149863222, 9.336213, 6.107150, 10.773156, 1.436255
204, 3, 1, -68.808755, 43.008833, 7.584751, 6.233409, 0.000000, 1000.000000, 428, 595, 250.092258, 20200514, 04:25:33.1750, 32.99692282, 35.06303361, -999.000000, 1, 0, 0.00000674437156, 7.584751, 5.633409, 9.427801, 1.844302
204, 4, 1, -77.513349, 4.414963, 5.777902, 5.755381, 0.000000, 1000.000000, 596, 777, 348.358651, 20200514, 04:26:43.1760, 32.99777455, 35.06326453, -999.000000, 1, 0, 0.00000039452321, 5.777902, 5.155381, 8.067340, 2.289923
204, 5, 1, -48.554777, 2626.013962, 4.368002, 5.702190, 0.000000, 1000.000000, 778, 950, 451.322104, 20200514, 04:27:54.3760, 32.99857876, 35.06376532, -999.000000, 1, 0, 0.00013938522481, 4.368002, 5.102190, 7.317206, 2.948524
204, 6, 1, -73.419033, 8.656714, 4.413311, 6.236726, 0.000000, 1000.000000, 951, 1139, 551.384301, 20200514, 04:29:06.7750, 32.99945978, 35.06371363, -999.000000, 1, 0, 0.00000273042101, 4.413311, 5.636726, 7.965028, 3.551421
204, 7, 1, -81.746939, 1.231848, 4.273259, 5.909232, 0.000000, 1000.000000, 1140, 1322, 649.420939, 20200514, 04:30:21.5750, 33.00029493, 35.06402001, -999.000000, 1, 0, 0.00000020968243, 4.273259, 5.309232, 7.528871, 3.254492
204, 8, 1, -72.840124, 10.933970, 4.878636, 4.889443, 0.000000, 1000.000000, 1323, 1503, 749.641561, 20200514, 04:31:34.5750, 33.00112809, 35.06438798, -999.000000, 1, 0, 0.00000437137709, 4.878636, 4.289443, 6.746472, 1.867471
204, 9, 1, -40.187054, 20336.538731, 4.925957, 6.076324, 0.000000, 1000.000000, 1504, 1671, 849.477141, 20200514, 04:32:44.3760, 33.00192440, 35.06483729, -999.000000, 1, 0, 0.00043976977586, 4.925957, 5.476324, 7.737260, 2.811341
204, 10, 1, -54.321744, 731.615153, 4.591612, 4.988861, 0.000000, 1000.000000, 1672, 1850, 953.942121, 20200514, 04:33:54.1750, 33.00261157, 35.06559611, -999.000000, 1, 0, 0.00008242672560, 4.591612, 4.388861, 6.849357, 2.261298
204, 11, 1, -72.068653, 12.065683, 4.507393, 4.815318, 0.000000, 1000.000000, 1851, 2046, 1048.530648, 20200514, 04:35:08.9750, 33.00323460, 35.06627970, -999.000000, 1, 0, 0.00000094356383, 4.507393, 4.215318, 6.572279, 2.067075
204, 12, 1, -73.469412, 9.695745, 5.000696, 4.418971, 0.000000, 1000.000000, 2047, 2266, 1152.677630, 20200514, 04:36:34.5750, 33.00408341, 35.06675499, -999.000000, 1, 0, 0.00000089312220, 5.000696, 3.818971, 6.351224, 1.354918
204, 13, 1, -71.191437, 12.369092, 3.775632, 4.774637, 0.000000, 1000.000000, 2267, 2534, 1249.111071, 20200514, 04:38:12.5750, 33.00489347, 35.06712851, -999.000000, 1, 0, 0.00000121364892, 3.775632, 4.174637, 6.372415, 2.599257
