Process_ID, Interval, Layer, Sv_mean, NASC, Height_mean, Depth_mean, Layer_depth_min, Layer_depth_max, Ping_S, Ping_E, Dist_M, Date_M, Time_M, Lat_M, Lon_M, Noise_Sv_1m, Minimum_Sv_threshold_applied, Maximum_Sv_threshold_applied, Standard_deviation, Thickness_mean, Range_mean, Exclude_below_line_range_mean, Exclude_above_line_range_mean
306, 1, 1, -73.044936, 25.230038, 11.801024, 7.227726, 0.000000, 1000.000000, 0, 910, 49.947529, 20200515, 03:27:02.0530, 999.00000000, 999.00000000, -999.000000, 1, 0, 0.00000388925732, 11.801024, 6.627726, 12.494894, 0.700201
306, 2, 1, -66.943655, 108.260601, 12.426365, 7.779706, 0.000000, 1000.000000, 911, 1542, 134.584357, 20200515, 03:32:10.4530, 999.00000000, 999.00000000, -999.000000, 1, 0, 0.00000743053282, 12.426365, 7.179706, 13.375218, 0.954447
306, 3, 1, -68.783512, 67.623034, 11.856432, 7.925845, 0.000000, 1000.000000, 1543, 1722, 248.570480, 20200515, 03:35:01.6540, 32.99566067, 35.06433885, -999.000000, 1, 0, 0.00000424557608, 11.856432, 7.325845, 13.284657, 1.434368
306, 4, 1, -75.921466, 12.818003, 11.627200, 7.312073, 0.000000, 1000.000000, 1723, 1902, 350.259997, 20200515, 03:36:13.6530, 32.99606006, 35.06512698, -999.000000, 1, 0, 0.00000057485597, 11.627200, 6.712073, 12.526202, 0.904837
306, 5, 1, -70.094902, 49.929622, 11.840135, 7.196940, 0.000000, 1000.000000, 1903, 2116, 450.589420, 20200515, 03:37:32.4640, 32.99677986, 35.06460992, -999.000000, 1, 0, 0.00000445539037, 11.840135, 6.596940, 12.493914, 0.660385
306, 6, 1, -69.239979, 51.225850, 9.976891, 6.268657, 0.000000, 1000.000000, 2117, 2294, 543.014420, 20200515, 03:38:51.0540, 32.99747364, 35.06431975, -999.000000, 1, 0, 0.00000528696134, 9.976891, 5.668657, 10.632737, 0.661760
306, 7, 1, -45.176709, 9885.352859, 7.553901, 5.045256, 0.000000, 1000.000000, 2295, 2504, 664.695798, 20200515, 03:40:08.6530, 32.99850157, 35.06394284, -999.000000, 1, 0, 0.00022316884621, 7.553901, 4.445256, 8.208241, 0.660385
306, 8, 1, -50.983857, 2789.442498, 8.117294, 5.381304, 0.000000, 1000.000000, 2505, 2720, 751.243206, 20200515, 03:41:33.8540, 32.99856252, 35.06441756, -999.000000, 1, 0, 0.00013834131784, 8.117294, 4.781304, 8.771849, 0.660385
306, 9, 1, -71.466236, 28.109017, 9.140658, 5.961731, 0.000000, 1000.000000, 2721, 3092, 843.940525, 20200515, 03:43:31.6530, 32.99884279, 35.06470869, -999.000000, 1, 0, 0.00000398033494, 9.140658, 5.361731, 9.797143, 0.662555
306, 10, 1, -65.381076, 119.381693, 9.562104, 6.128688, 0.000000, 1000.000000, 3093, 3433, 953.672883, 20200515, 03:45:55.0540, 32.99952451, 35.06547686, -999.000000, 1, 0, 0.00001172803583, 9.562104, 5.528688, 10.218271, 0.662358
306, 11, 1, -78.147496, 7.405015, 11.214596, 6.926025, 0.000000, 1000.000000, 3434, 3836, 1038.205288, 20200515, 03:48:24.4530, 33.00011485, 35.06576900, -999.000000, 1, 0, 0.00000148631476, 11.214596, 6.326025, 11.929366, 0.721259
306, 12, 1, -61.399010, 359.925779, 11.524501, 7.086241, 0.000000, 1000.000000, 3837, 4147, 1164.502020, 20200515, 03:50:47.4540, 33.00046577, 35.06659417, -999.000000, 1, 0, 0.00001984687466, 11.524501, 6.486241, 12.248633, 0.730930
306, 13, 1, -62.170144, 299.758774, 11.462898, 6.997039, 0.000000, 1000.000000, 4148, 4377, 1254.215789, 20200515, 03:52:35.4540, 33.00086595, 35.06698305, -999.000000, 1, 0, 0.00001611508607, 11.462898, 6.397039, 12.119576, 0.662619
306, 14, 1, -50.247418, 4734.409223, 11.628287, 7.073294, 0.000000, 1000.000000, 4378, 4597, 1329.458826, 20200515, 03:54:05.4540, 33.00152545, 35.06699910, -999.000000, 1, 0, 0.00007117622711, 11.628287, 6.473294, 12.282783, 0.660385
306, 15, 1, -54.914363, 1396.572730, 10.046344, 6.479417, 0.000000, 1000.000000, 4598, 4759, 1449.992281, 20200515, 03:55:21.8540, 33.00234732, 35.06622275, -999.000000, 1, 0, 0.00003370075701, 10.046344, 5.879417, 10.700876, 0.660385
306, 16, 1, -66.884912, 51.628702, 5.846428, 4.282750, 0.000000, 1000.000000, 4760, 5067, 1522.074234, 20200515, 03:56:56.2540, 33.00247262, 35.06572994, -999.000000, 1, 0, 0.00001361763259, 5.846428, 3.682750, 6.604459, 0.763660
306, 17, 1, -71.698163, 20.784026, 7.129419, 4.839389, 0.000000, 1000.000000, 5068, 5231, 1649.203756, 20200515, 03:58:30.6530, 33.00357924, 35.06600737, -999.000000, 1, 0, 0.00000400132589, 7.129419, 4.239389, 7.784041, 0.660385
306, 18, 1, -83.665716, 1.448892, 7.818364, 5.169066, 0.000000, 1000.000000, 5232, 5395, 1749.751192, 20200515, 03:59:36.4540, 33.00439001, 35.06644755, -999.000000, 1, 0, 0.00000022744040, 7.818364, 4.569066, 8.472802, 0.660385
306, 19, 1, -52.886345, 1430.576196, 6.451395, 4.513056, 0.000000, 1000.000000, 5396, 5560, 1849.960315, 20200515, 04:00:42.4540, 33.00521119, 35.06687032, -999.000000, 1, 0, 0.00006230433753, 6.451395, 3.913056, 7.106030, 0.660385
306, 20, 1, -80.673687, 2.568581, 6.959374, 4.806242, 0.000000, 1000.000000, 5561, 5729, 1951.133442, 20200515, 04:01:49.2540, 33.00593893, 35.06749123, -999.000000, 1, 0, 0.00000084407666, 6.959374, 4.206242, 7.613357, 0.660385
