Process_ID, Interval, Layer, Sv_mean, NASC, Height_mean, Depth_mean, Layer_depth_min, Layer_depth_max, Ping_S, Ping_E, Dist_M, Date_M, Time_M, Lat_M, Lon_M, Noise_Sv_1m, Minimum_Sv_threshold_applied, Maximum_Sv_threshold_applied, Standard_deviation, Thickness_mean, Range_mean, Exclude_below_line_range_mean, Exclude_above_line_range_mean
110, 1, 1, -66.482175, 113.805511, 11.745973, 7.417772, 0.000000, 1000.000000, 0, 242, 49.928304, 20190627, 12:49:25.5080, 32.99773300, 35.07291029, -999.000000, 1, 0, 0.00000517319578, 11.745973, 6.817772, 12.688464, 0.948836
110, 2, 1, -67.460091, 92.984233, 12.020612, 7.471931, 0.000000, 1000.000000, 243, 490, 148.608118, 20190627, 12:51:03.9090, 32.99855327, 35.07328603, -999.000000, 1, 0, 0.00000434657856, 12.020612, 6.871931, 12.877756, 0.863590
110, 3, 1, -67.135033, 107.133853, 12.851038, 7.894975, 0.000000, 1000.000000, 491, 743, 249.291015, 20190627, 12:52:44.9080, 32.99937667, 35.07371167, -999.000000, 1, 0, 0.00000542899305, 12.851038, 7.294975, 13.720792, 0.876878
110, 4, 1, -72.827392, 28.603187, 12.725118, 7.891475, 0.000000, 1000.000000, 744, 982, 349.793153, 20190627, 12:54:23.7080, 33.00024312, 35.07400445, -999.000000, 1, 0, 0.00000381313223, 12.725118, 7.291475, 13.656288, 0.937646
110, 5, 1, -67.478907, 96.067812, 12.473168, 7.684254, 0.000000, 1000.000000, 983, 1230, 451.325923, 20190627, 12:56:01.5200, 33.00109781, 35.07435323, -999.000000, 1, 0, 0.00000837087234, 12.473168, 7.084254, 13.320410, 0.853583
110, 6, 1, -72.925933, 26.677478, 12.140771, 7.545856, 0.000000, 1000.000000, 1231, 1453, 548.721044, 20190627, 12:57:39.3090, 33.00193921, 35.07463668, -999.000000, 1, 0, 0.00000297616773, 12.140771, 6.945856, 13.013337, 0.879181
110, 7, 1, -74.683368, 16.758612, 11.430967, 7.470622, 0.000000, 1000.000000, 1454, 1714, 653.128333, 20190627, 12:59:21.7080, 33.00278718, 35.07509609, -999.000000, 1, 0, 0.00000041572934, 11.430967, 6.870622, 12.594234, 1.169508
110, 9, 1, -67.775110, 76.736337, 10.666458, 6.856813, 0.000000, 1000.000000, 1715, 1883, 870.180527, 20190627, 13:08:18.9400, 33.00370667, 35.07695833, -999.000000, 1, 0, 0.00000113717889, 10.666458, 6.256813, 11.588561, 0.928287
110, 10, 1, -73.199855, 22.438033, 10.876233, 6.896362, 0.000000, 1000.000000, 1884, 2149, 949.113727, 20190627, 13:09:46.1390, 33.00435877, 35.07726296, -999.000000, 1, 0, 0.00000054780194, 10.876233, 6.296362, 11.735107, 0.865401
110, 11, 1, -73.581950, 20.416950, 10.806724, 6.846314, 0.000000, 1000.000000, 2150, 2409, 1050.941349, 20190627, 13:11:31.9400, 33.00518400, 35.07771493, -999.000000, 1, 0, 0.00000331626571, 10.806724, 6.246314, 11.650263, 0.849756
110, 12, 1, -64.668818, 148.294902, 10.081293, 6.452614, 0.000000, 1000.000000, 2410, 2675, 1149.853393, 20190627, 13:13:17.7390, 33.00598006, 35.07816060, -999.000000, 1, 0, 0.00000803551249, 10.081293, 5.852614, 10.885530, 0.810536
110, 13, 1, -73.436536, 18.918110, 9.683659, 6.229899, 0.000000, 1000.000000, 2676, 2936, 1248.998028, 20190627, 13:15:03.7390, 33.00673763, 35.07870239, -999.000000, 1, 0, 0.00000083188366, 9.683659, 5.629899, 10.467716, 0.790347
110, 14, 1, -70.832839, 33.976441, 9.549265, 6.182227, 0.000000, 1000.000000, 2937, 3209, 1347.726949, 20190627, 13:16:51.1400, 33.00747712, 35.07923485, -999.000000, 1, 0, 0.00000374150758, 9.549265, 5.582227, 10.354343, 0.811643
110, 15, 1, -71.338050, 32.461317, 10.248948, 6.552150, 0.000000, 1000.000000, 3210, 3476, 1449.944772, 20190627, 13:18:39.7390, 33.00826848, 35.07977674, -999.000000, 1, 0, 0.00000193360156, 10.248948, 5.952150, 11.073825, 0.831038
110, 16, 1, -66.135067, 116.558889, 11.106067, 7.005380, 0.000000, 1000.000000, 3477, 3741, 1550.169695, 20190627, 13:20:26.5390, 33.00903667, 35.08030667, -999.000000, 1, 0, 0.00001131004067, 11.106067, 6.405380, 11.949744, 0.850310
110, 17, 1, -63.216514, 226.316532, 11.012245, 6.959717, 0.000000, 1000.000000, 3742, 4019, 1648.526770, 20190627, 13:22:15.5390, 33.00982594, 35.08074779, -999.000000, 1, 0, 0.00001570216872, 11.012245, 6.359717, 11.868629, 0.862555
110, 18, 1, -72.262681, 26.710874, 10.434325, 6.686955, 0.000000, 1000.000000, 4020, 4386, 1741.735320, 20190627, 13:24:25.3400, 33.01042712, 35.08116923, -999.000000, 1, 0, 0.00000140132792, 10.434325, 6.086955, 11.302031, 0.874750
110, 19, 1, -69.753264, 44.104944, 9.667670, 6.224137, 0.000000, 1000.000000, 4387, 4649, 1852.528988, 20190627, 13:26:31.9400, 33.01131141, 35.08158967, -999.000000, 1, 0, 0.00000087720325, 9.667670, 5.624137, 10.449932, 0.788891
110, 20, 1, -73.188094, 18.030344, 8.716088, 5.769327, 0.000000, 1000.000000, 4650, 4920, 1950.496501, 20190627, 13:28:19.3400, 33.01209255, 35.08205816, -999.000000, 1, 0, 0.00000051427711, 8.716088, 5.169327, 9.525268, 0.815719
110, 21, 1, -72.094202, 26.853423, 10.090857, 6.473455, 0.000000, 1000.000000, 4921, 5204, 2046.213484, 20190627, 13:30:10.7390, 33.01290167, 35.08230167, -999.000000, 1, 0, 0.00000211659228, 10.090857, 5.873455, 10.908357, 0.823942
110, 22, 1, -60.570930, 386.564216, 10.228756, 6.463050, 0.000000, 1000.000000, 5205, 5486, 2149.849032, 20190627, 13:32:04.5390, 33.01376167, 35.08267000, -999.000000, 1, 0, 0.00002461350700, 10.228756, 5.863050, 10.975529, 0.753602
110, 23, 1, -77.616173, 7.152556, 9.584881, 6.158804, 0.000000, 1000.000000, 5487, 5754, 2250.017754, 20190627, 13:33:54.9390, 33.01458500, 35.08308500, -999.000000, 1, 0, 0.00000041347257, 9.584881, 5.558804, 10.343395, 0.765051
110, 24, 1, -76.416371, 8.163604, 8.299028, 5.521040, 0.000000, 1000.000000, 5755, 6018, 2348.129134, 20190627, 13:35:41.9390, 33.01536559, 35.08355640, -999.000000, 1, 0, 0.00000063017080, 8.299028, 4.921040, 9.060475, 0.767990
110, 25, 1, -76.339297, 7.971933, 7.961621, 5.334873, 0.000000, 1000.000000, 6019, 6297, 2448.300803, 20190627, 13:37:31.3390, 33.01618383, 35.08398653, -999.000000, 1, 0, 0.00000074297880, 7.961621, 4.734873, 8.712320, 0.757811
110, 26, 1, -50.106993, 3109.116786, 7.393405, 5.089496, 0.000000, 1000.000000, 6298, 6572, 2548.953803, 20190627, 13:39:22.5390, 33.01701833, 35.08438500, -999.000000, 1, 0, 0.00010593642647, 7.393405, 4.489496, 8.182241, 0.795279
110, 27, 1, -55.696950, 800.878595, 6.898741, 4.844276, 0.000000, 1000.000000, 6573, 6849, 2649.606491, 20190627, 13:41:13.5390, 33.01784119, 35.08481246, -999.000000, 1, 0, 0.00007470775492, 6.898741, 4.244276, 7.692357, 0.799878
110, 28, 1, -66.943343, 59.361838, 6.813179, 4.801975, 0.000000, 1000.000000, 6850, 7123, 2748.268618, 20190627, 13:43:04.1390, 33.01863637, 35.08526137, -999.000000, 1, 0, 0.00001017924158, 6.813179, 4.201975, 7.592268, 0.785654
110, 29, 1, -62.615260, 162.238106, 6.873644, 4.836648, 0.000000, 1000.000000, 7124, 7393, 2849.136500, 20190627, 13:44:53.5390, 33.01943963, 35.08574613, -999.000000, 1, 0, 0.00001747632234, 6.873644, 4.236648, 7.665091, 0.797888
